id,parentId,name,classificationId
655,654,"Stressing Tendons",1
656,655,"Steel Stressing Tendons",1
657,656,"Steel Strand Stressing Tendons",1
658,656,"Steel Wire Stressing Tendons",1
659,656,"Steel Bar Stressing Tendons",1
660,655,"Glass Fibers",1
661,654,"Steel Bars",1
662,654,"Glass Fiber Tendons",1
663,654,"Prestressing Couplers",1
664,654,"Tendon Sheathing",1
665,664,"Tendon Sheathing Ducts",1
666,654,"Prestressing Anchorages",1
667,643,"Post Tensioning Products",1
668,643,"Complete Reinforcement Cages",1
669,643,"Cast In Jointing",1
670,669,"Expansion and Contraction Joints",1
671,669,"Waterstops",1
672,633,"Concrete Finishing Products",1
673,672,"Stamped Concrete Finishing Products",1
674,672,"Colored Concrete Finishing Products",1
675,243,"Envelope Enclosure Products",1
676,675,"Sliding Glass Wall Systems",1
677,675,"Folding Glass Wall Systems",1
678,675,"Wall Exteriors",1
679,678,"Blast Resistant Wall Exteriors",1
680,675,"Infill Facades",1
681,680,"Exterior Wall Assemblies",1
682,675,"Precast Concrete Facade",1
683,682,"Cladding and Curtainwall Panels",1
684,683,"Opening Infill Units",1
685,683,"Imbedded Material Finish Mix", Tiles
686,675,"Entrances",1
687,686,"Aluminum-Framed Entrances",1
688,687,"Automatic Aluminum-Framed Entrances",1
689,687,"Revolving Door Aluminum-Framed  Entrances",1
690,687,"Balanced Door Aluminum-Framed  Entrances",1
691,687,"Pressure-Resistant Aluminum-Framed  Entrances",1
692,687,"Intensive Care Unit/Critical Care Unit Aluminum-Framed  Entrances",1
693,686,"Bronze-Framed Entrances",1
694,693,"Automatic Bronze-Framed Entrances",1
695,693,"Revolving Door Bronze-Framed  Entrances",1
696,693,"Balanced Door Bronze-Framed  Entrances",1
697,693,"Pressure-Resistant Bronze-Framed  Entrances",1
698,693,"Intensive Care Unit/Critical Care Unit Bronze-Framed  Entrances",1
699,686,"Stainless-Steel-Framed Entrances",1
700,699,"Automatic Stainless-Steel-Framed Entrances",1
701,699,"Revolving Door Stainless-Steel-Framed  Entrances",1
702,699,"Balanced Door Stainless-Steel-Framed  Entrances",1
703,699,"Pressure-Resistant Stainless-Steel-Framed  Entrances",1
704,699,"Intensive Care Unit/Critical Care Unit Stainless-Steel-Framed  Entrances",1
705,686,"Steel-Framed Entrances",1
706,705,"Automatic Steel-Framed Entrances",1
707,705,"Revolving Door  Steel-Framed  Entrances",1
708,705,"Balanced Door  Steel-Framed  Entrances",1
709,705,"Pressure-Resistant  Steel-Framed  Entrances",1
710,705,"Intensive Care Unit/Critical Care Unit  Steel-Framed  Entrances",1
711,686,"All-Glass Entrances",1
712,711,"Automatic All-Glass Entrances",1
713,711,"Revolving Door  All-Glass  Entrances",1
714,711,"Balanced Door  All-Glass  Entrances",1
715,711,"Pressure-Resistant  All-Glass Entrances",1
716,711,"Intensive Care Unit/Critical Care Unit All-Glass Entrances",1
717,675,"Storefronts",1
718,717,"Aluminum-Framed Storefronts",1
719,718,"Automatic Aluminum-Framed Storefronts",1
720,718,"Revolving Door Aluminum-Framed  Storefronts",1
721,718,"Balanced Door Aluminum-Framed  Storefronts",1
722,718,"Pressure-Resistant Aluminum-Framed  Storefronts",1
723,718,"Intensive Care Unit/Critical Care Unit Aluminum-Framed  Storefronts",1
724,717,"Bronze-Framed Storefronts",1
725,724,"Automatic Bronze-Framed Storefronts",1
726,724,"Revolving Door Bronze-Framed  Storefronts",1
727,724,"Balanced Door Bronze-Framed  Storefronts",1
728,724,"Pressure-Resistant Bronze-Framed  Storefronts",1
729,724,"Intensive Care Unit/Critical Care Unit Bronze-Framed  Storefronts",1
730,717,"Stainless-Steel-Framed Storefronts",1
731,730,"Automatic Stainless-Steel-Framed Storefronts",1
732,730,"Revolving Door Stainless-Steel-Framed  Storefronts",1
733,730,"Balanced Door Stainless-Steel-Framed Storefronts",1
